yearly.salary;age;elevel;car;region;credit;brand
141686.8952;42;Master's, Doctoral or Professional Degree;Hyundai;Mountain;203778.1991;
149767.1948;44;Less than High School Degree;Cadillac;Mountain;388308.0984;
78514.58003;55;High School Degree;Hyundai;Mid-Atlantic;68474.62186;
113094.3373;26;Less than High School Degree;Nissan;Pacific;0;
67302.18209;38;High School Degree;Honda;Mid-Atlantic;427609.4411;
50166.71099;66;4-Year College Degree;Subaru;Mid-Atlantic;0;
85844.1379;64;4-Year College Degree;Ford;West North Central;464691.9614;
62227.97697;42;High School Degree;Subaru;Mountain;120560.7717;
38398.98572;48;High School Degree;Dodge;West South Central;147354.1678;
129568.3169;40;Some College;Toyota;New England;249793.6154;
55665.94862;50;Some College;Lincoln;South Atlantic;395838.6838;
63542.64801;42;High School Degree;Honda;West North Central;434354.8085;
56948.83238;75;Master's, Doctoral or Professional Degree;None of the above;South Atlantic;448994.4745;
118861.6375;58;High School Degree;Nissan;South Atlantic;416539.2957;
30960.48012;33;Less than High School Degree;BMW;West South Central;454564.1581;
88190.09558;21;Some College;Mercedes Benz;Mid-Atlantic;152375.8298;
111693.2673;31;Some College;Honda;East South Central;185900.9077;
80576.06272;66;Less than High School Degree;Mitsubishi;Pacific;121368.4934;
34368.41975;29;4-Year College Degree;Cadillac;South Atlantic;12625.25997;
132570.5593;73;High School Degree;Chevrolet;East North Central;0;
95905.74035;52;High School Degree;Mercedes Benz;East South Central;193763.9331;
61317.05075;65;High School Degree;Kia;New England;218962.8024;
21828.99509;41;Some College;Ram;West North Central;437819.4462;
132422.0268;52;Master's, Doctoral or Professional Degree;Kia;East South Central;153228.5473;
131990.9438;65;High School Degree;Chevrolet;West North Central;455898.0022;
44672.96788;27;Less than High School Degree;Mercedes Benz;West South Central;65521.49348;
117934.7756;25;Some College;Chevrolet;East South Central;444100.3173;
110057.722;47;Master's, Doctoral or Professional Degree;Mazda;New England;164271.4287;
55541.80102;23;Some College;Subaru;West North Central;291891.6361;
51284.08333;30;Some College;Buick;West South Central;233067.4007;
124154.1401;46;High School Degree;Subaru;West North Central;245915.5127;
56143.05246;70;High School Degree;Lincoln;Mountain;106609.3267;
131528.9953;43;Master's, Doctoral or Professional Degree;Ford;New England;266317.1;
108929.2224;76;Some College;Mazda;East South Central;72663.81217;
47742.38069;27;4-Year College Degree;Subaru;New England;218089.2001;
107998.7182;49;High School Degree;Chrysler;West North Central;151818.3195;
86638.14339;63;4-Year College Degree;BMW;West North Central;273306.6982;
78986.85471;44;High School Degree;Lincoln;East North Central;389704.4156;
67911.7705;71;Master's, Doctoral or Professional Degree;Mazda;Mid-Atlantic;299119.0913;
148126.2669;31;Master's, Doctoral or Professional Degree;Lincoln;Mountain;333183.5676;
136877.8429;38;High School Degree;Honda;West North Central;106520.7604;
143461.6519;78;Less than High School Degree;Hyundai;Mountain;176590.9753;
66408.48211;30;High School Degree;Mitsubishi;New England;260339.1954;
41937.84129;37;High School Degree;Mitsubishi;East South Central;29517.90051;
21466.78842;55;Some College;Ford;East North Central;227351.9589;
134667.3771;54;Master's, Doctoral or Professional Degree;Subaru;New England;51224.85846;
120783.718;66;Master's, Doctoral or Professional Degree;Kia;West South Central;281918.505;
150000;35;Less than High School Degree;Mitsubishi;West North Central;325174.2915;
48415.14441;63;High School Degree;BMW;Mountain;47614.02344;
112570.1278;46;Master's, Doctoral or Professional Degree;Mazda;Mountain;87225.27693;
85176.92947;30;4-Year College Degree;Hyundai;East South Central;40253.33982;
49507.19164;41;Less than High School Degree;Subaru;Pacific;408629.2916;
96005.93185;32;4-Year College Degree;Nissan;Mountain;383264.6262;
85029.43416;34;Master's, Doctoral or Professional Degree;Chrysler;New England;54887.52139;
56788.28763;27;4-Year College Degree;None of the above;East North Central;407945.3155;
91115.25501;24;Master's, Doctoral or Professional Degree;Chrysler;New England;365238.2937;
106645.2039;64;Master's, Doctoral or Professional Degree;Buick;West North Central;261567.1326;
112447.754;77;Master's, Doctoral or Professional Degree;Dodge;South Atlantic;361543.9773;
52728.42482;30;Master's, Doctoral or Professional Degree;Buick;South Atlantic;248922.4867;
109190.1248;58;High School Degree;Cadillac;Mountain;369096.3481;
120612.4134;79;Less than High School Degree;Buick;Mid-Atlantic;64207.83205;
75327.39228;46;4-Year College Degree;Mazda;Pacific;27546.18858;
96886.72345;37;High School Degree;Mercedes Benz;Mountain;455590.6187;
127569.9457;52;Some College;Chevrolet;South Atlantic;168937.1781;
119655.5705;33;Master's, Doctoral or Professional Degree;Chrysler;East South Central;124704.5577;
124984.2497;66;Some College;Mazda;East South Central;195591.9099;
95078.57756;20;Master's, Doctoral or Professional Degree;Kia;Pacific;173068.879;
117572.1414;24;Master's, Doctoral or Professional Degree;Hyundai;Mountain;356845.7181;
127860.582;41;Master's, Doctoral or Professional Degree;Jeep;Mid-Atlantic;1031.239496;
98923.80511;60;4-Year College Degree;Dodge;New England;492425.0394;
54764.08587;80;Less than High School Degree;Chevrolet;Pacific;414085.819;
99103.62853;28;Some College;Mazda;West North Central;254216.0519;
109175.7189;76;Master's, Doctoral or Professional Degree;Toyota;West South Central;347961.6579;
77155.81335;30;Some College;BMW;West North Central;77663.58833;
119629.9439;69;Master's, Doctoral or Professional Degree;Honda;South Atlantic;362826.6333;
109278.6257;43;High School Degree;Hyundai;Pacific;406552.9465;
55472.00061;30;Some College;Jeep;Pacific;97762.32951;
46469.71316;79;4-Year College Degree;Buick;Mountain;409556.4725;
28468.26957;20;4-Year College Degree;BMW;West South Central;484452.4669;
32912.03482;28;High School Degree;Buick;West South Central;476358.5494;
52973.13402;64;High School Degree;Ram;Mountain;172328.4377;
42499.23584;70;Some College;Lincoln;Pacific;402438.2918;
91323.76951;66;Master's, Doctoral or Professional Degree;Toyota;East North Central;366018.0249;
34982.16944;49;4-Year College Degree;Ford;East South Central;42965.56599;
40472.56318;75;Less than High School Degree;Dodge;New England;198786.7205;
30733.96687;58;Master's, Doctoral or Professional Degree;Mercedes Benz;Pacific;71302.39037;
75086.73655;47;Less than High School Degree;Toyota;Pacific;312646.1146;
100281.0959;41;High School Degree;Honda;East North Central;420908.4747;
90581.4685;43;4-Year College Degree;Honda;Pacific;344700.7702;
145734.4663;45;Some College;Lincoln;New England;111536.8189;
55884.20131;24;Less than High School Degree;Mazda;East North Central;299528.131;
128299.0444;28;4-Year College Degree;Mazda;Mid-Atlantic;174588.2544;
71606.60989;23;4-Year College Degree;Ford;New England;204947.5208;
55826.57908;79;4-Year College Degree;Ford;New England;412779.0354;
88428.84801;71;Some College;Subaru;Mountain;261140.7868;
123341.318;30;4-Year College Degree;Buick;West North Central;121830.6857;
127895.8519;62;Some College;Nissan;Mountain;27169.57037;
134439.5271;67;Less than High School Degree;Ram;South Atlantic;40772.87762;
23624.77114;66;4-Year College Degree;BMW;Mountain;404980.5819;
132026.8418;77;Less than High School Degree;Mercedes Benz;East South Central;131294.1868;
30052.5073;37;4-Year College Degree;Cadillac;East South Central;272918.043;
136007.5551;63;Some College;Kia;Pacific;330821.5838;
66748.90503;25;Master's, Doctoral or Professional Degree;Subaru;West South Central;370427.3071;
78852.21315;67;Some College;Hyundai;New England;475659.9358;
144919.9536;61;Less than High School Degree;Hyundai;East North Central;413617.2348;
145244.1948;70;4-Year College Degree;Lincoln;West South Central;245181.2358;
71468.63609;33;Some College;Chrysler;Mid-Atlantic;29510.59492;
145028.7404;57;High School Degree;Dodge;South Atlantic;247917.1038;
51907.0616;60;4-Year College Degree;Nissan;East North Central;443038.7178;
71133.66563;43;Master's, Doctoral or Professional Degree;Toyota;West North Central;138563.3384;
79893.16857;43;Less than High School Degree;None of the above;East North Central;436208.1706;
45625.46481;38;Some College;Cadillac;East North Central;278828.9147;
66339.55072;72;Less than High School Degree;Dodge;Mountain;499659.4003;
131728.4338;31;Some College;Mazda;East North Central;391435.4751;
79487.888;54;Less than High School Degree;Buick;Mountain;239046.8276;
39924.73011;46;Master's, Doctoral or Professional Degree;Lincoln;Mountain;421865.606;
39421.65325;42;Some College;Chrysler;East South Central;80254.22213;
89699.27429;72;High School Degree;Honda;South Atlantic;456592.2258;
150000;72;4-Year College Degree;Buick;East North Central;441587.8744;
40181.03981;51;High School Degree;Buick;East North Central;189876.4687;
94957.46715;48;High School Degree;Chrysler;East South Central;53211.76257;
121142.2956;70;4-Year College Degree;BMW;West South Central;267059.09;
48462.36087;54;Master's, Doctoral or Professional Degree;Chrysler;East South Central;430070.6101;
23755.23724;53;High School Degree;Mercedes Benz;West South Central;218809.7884;
109405.1722;42;Master's, Doctoral or Professional Degree;Cadillac;Pacific;183113.5529;
86840.08477;34;4-Year College Degree;Chevrolet;South Atlantic;24959.12297;
131611.9344;21;Some College;Chrysler;South Atlantic;69421.59478;
52203.32288;45;Master's, Doctoral or Professional Degree;Mazda;East South Central;186222.8735;
99425.92361;68;4-Year College Degree;Hyundai;West North Central;233327.7897;
115610.685;38;Less than High School Degree;Hyundai;Mountain;232947.5967;
138106.1442;60;Master's, Doctoral or Professional Degree;Mazda;Pacific;404617.7151;
100351.6944;26;Less than High School Degree;Lincoln;Mountain;181510.9466;
87577.91122;40;4-Year College Degree;Mercedes Benz;Mountain;159052.2923;
87820.55342;50;4-Year College Degree;Toyota;New England;308674.3286;
117729.8637;73;Some College;Lincoln;South Atlantic;282938.2883;
45627.24106;31;4-Year College Degree;None of the above;Mid-Atlantic;219248.5353;
77861.51375;52;Less than High School Degree;Chevrolet;New England;134281.9969;
55561.46194;77;Master's, Doctoral or Professional Degree;Mazda;Pacific;160361.4711;
114625.0196;60;Less than High School Degree;Chevrolet;Mid-Atlantic;56395.96955;
127835.4321;79;Master's, Doctoral or Professional Degree;Toyota;Pacific;64301.4099;
60884.36915;57;Some College;Kia;New England;186713.8755;
91778.02566;53;Some College;Kia;Pacific;249654.4091;
148512.2067;20;4-Year College Degree;Subaru;East South Central;468199.6715;
94948.51885;33;Master's, Doctoral or Professional Degree;Ram;Mountain;294766.6089;
37580.60675;30;High School Degree;Ford;New England;453957.4341;
46775.33385;80;High School Degree;Jeep;South Atlantic;384709.1081;
115902.4027;77;Master's, Doctoral or Professional Degree;Nissan;West North Central;20644.74188;
143288.8959;46;Some College;Lincoln;South Atlantic;390017.0328;
37225.00611;58;4-Year College Degree;Kia;West South Central;185046.1455;
119126.6561;54;Some College;Subaru;East North Central;216993.7254;
72538.55821;53;High School Degree;Kia;West North Central;57897.17345;
128555.8761;61;4-Year College Degree;Jeep;West North Central;235366.0211;
71718.92682;49;High School Degree;Mitsubishi;South Atlantic;346756.1098;
150000;24;Master's, Doctoral or Professional Degree;Ram;New England;243463.7491;
127933.6204;50;Master's, Doctoral or Professional Degree;Mercedes Benz;Mid-Atlantic;75122.39312;
49100.96007;48;4-Year College Degree;Toyota;Mountain;312467.1401;
30963.66682;26;4-Year College Degree;Ram;Pacific;287736.8777;
99588.13898;30;4-Year College Degree;Nissan;West South Central;310451.985;
137993.3953;38;Less than High School Degree;Lincoln;New England;455402.6855;
101503.9078;52;High School Degree;Mitsubishi;East South Central;208177.311;
82303.90592;77;Master's, Doctoral or Professional Degree;Nissan;West North Central;215440.1416;
90187.51168;76;High School Degree;Toyota;Pacific;288314.0387;
29084.26573;54;Less than High School Degree;Subaru;Pacific;452618.1162;
79639.87953;48;Less than High School Degree;Honda;East South Central;194346.7505;
62014.40101;62;High School Degree;Buick;East South Central;334037.3626;
109861.9686;80;4-Year College Degree;Mercedes Benz;Pacific;90419.68501;
133417.7525;55;High School Degree;Mercedes Benz;South Atlantic;124897.9667;
95625.67718;75;Master's, Doctoral or Professional Degree;Mitsubishi;West North Central;494797.1115;
129196.0643;65;High School Degree;Mazda;South Atlantic;207941.9818;
118504.8433;50;Some College;Buick;West South Central;500000;
133456.9337;23;4-Year College Degree;Mitsubishi;West South Central;221290.1344;
61367.54968;80;Less than High School Degree;Ram;West South Central;255125.1491;
116628.9572;23;4-Year College Degree;BMW;South Atlantic;458344.0213;
112613.1242;24;Master's, Doctoral or Professional Degree;Toyota;South Atlantic;268041.9673;
40049.93285;21;High School Degree;None of the above;New England;26361.99491;
33859.92659;59;4-Year College Degree;Subaru;East North Central;140073.4442;
77993.30416;29;Master's, Doctoral or Professional Degree;Dodge;West South Central;310044.6567;
113534.119;44;Master's, Doctoral or Professional Degree;Toyota;West North Central;131245.7478;
33634.61426;76;4-Year College Degree;Buick;New England;500000;
42056.52671;42;High School Degree;Buick;East South Central;47694.03974;
32535.59136;32;Some College;Toyota;East South Central;0;
47208.05205;54;Less than High School Degree;Buick;South Atlantic;494067.5351;
140793.6953;66;High School Degree;Mitsubishi;East South Central;476872.1836;
128207.7602;20;Less than High School Degree;Kia;New England;187118.0821;
63873.65161;68;Some College;Mazda;East South Central;92297.51744;
23460.85733;57;4-Year College Degree;Honda;East North Central;83457.14046;
87656.03278;21;4-Year College Degree;Kia;East South Central;262570.9145;
77232.48652;54;High School Degree;Toyota;East South Central;299162.3127;
126407.2942;73;4-Year College Degree;Toyota;East South Central;387765.1304;
102192.0808;22;Less than High School Degree;Lincoln;West North Central;26467.91986;
123593.0788;54;Less than High School Degree;Mazda;West South Central;314553.9991;
105317.4742;20;Master's, Doctoral or Professional Degree;Chevrolet;Pacific;323528.868;
51265.62398;24;High School Degree;Hyundai;East North Central;349403.0383;
92844.17548;27;High School Degree;Nissan;Mid-Atlantic;233469.2903;
122715.7448;72;4-Year College Degree;Mazda;East North Central;71425.39739;
30662.15255;44;Master's, Doctoral or Professional Degree;Mercedes Benz;South Atlantic;438565.8257;
85476.46264;62;Master's, Doctoral or Professional Degree;Cadillac;South Atlantic;92998.02061;
141864.5579;35;Master's, Doctoral or Professional Degree;Chevrolet;Mountain;67666.21388;
49743.02149;48;Some College;Mitsubishi;East South Central;377391.8036;
73620.95503;52;Master's, Doctoral or Professional Degree;BMW;Pacific;298055.3664;
112233.0809;66;Master's, Doctoral or Professional Degree;Nissan;East North Central;0;
150000;48;4-Year College Degree;Honda;East North Central;172425.1695;
142131.3101;71;Less than High School Degree;Ford;West South Central;67787.92815;
100199.722;48;Some College;Mitsubishi;East South Central;351770.3413;
36530.5221;46;4-Year College Degree;Mercedes Benz;East South Central;87237.39158;
120447.1774;36;4-Year College Degree;Mitsubishi;West North Central;339778.9868;
105912.3464;49;4-Year College Degree;Ram;West North Central;335366.2559;
50190.24402;24;Master's, Doctoral or Professional Degree;Subaru;New England;234954.6854;
105461.3206;62;4-Year College Degree;Mitsubishi;West North Central;399495.9811;
68273.34285;38;Master's, Doctoral or Professional Degree;Mercedes Benz;Mountain;133000.1418;
121738.0309;31;Master's, Doctoral or Professional Degree;Mitsubishi;East South Central;333990.3131;
59342.56984;55;Less than High School Degree;Chevrolet;Pacific;134892.74;
128661.4259;44;Master's, Doctoral or Professional Degree;Subaru;South Atlantic;272432.2631;
73099.17153;39;Less than High School Degree;Buick;New England;229878.5441;
51413.90785;48;4-Year College Degree;BMW;Pacific;360866.8472;
105163.4276;61;4-Year College Degree;Mercedes Benz;East North Central;271808.4495;
51292.94818;24;Master's, Doctoral or Professional Degree;Honda;Mountain;390826.9226;
66587.32883;67;High School Degree;None of the above;Mid-Atlantic;147020.8197;
54886.57953;78;Less than High School Degree;Ford;East North Central;210380.6469;
115755.6881;46;High School Degree;Lincoln;Mountain;360210.5173;
47627.59281;26;Less than High School Degree;Hyundai;Mid-Atlantic;162099.6091;
126480.3768;48;Master's, Doctoral or Professional Degree;Cadillac;East North Central;82154.34858;
54573.61902;77;Some College;Nissan;West North Central;384906.0884;
112450.078;35;Some College;Toyota;Mountain;126501.0719;
96168.17237;59;High School Degree;Hyundai;South Atlantic;309223.9857;
31949.10785;59;Master's, Doctoral or Professional Degree;None of the above;East North Central;484373.3046;
105504.9782;60;High School Degree;Nissan;Mountain;426254.8188;
49979.38437;43;4-Year College Degree;Chrysler;West South Central;413531.6548;
89593.49893;62;High School Degree;None of the above;West North Central;430817.1992;
39499.89868;48;Less than High School Degree;Lincoln;Mountain;285592.8262;
115157.0298;42;4-Year College Degree;Subaru;Mountain;453769.4353;
34458.55188;56;Some College;BMW;West North Central;376817.4062;
63634.84819;51;Less than High School Degree;Jeep;Mid-Atlantic;332626.281;
117637.9094;41;Some College;Jeep;Mountain;354231.1845;
121047.4292;29;High School Degree;Hyundai;East South Central;500000;
109560.2799;20;Less than High School Degree;None of the above;West North Central;115858.5351;
100693.6339;77;Master's, Doctoral or Professional Degree;Hyundai;Pacific;254806.5269;
50341.84092;76;Some College;Nissan;East South Central;336448.9265;
143492.2919;51;High School Degree;Nissan;West North Central;361509.8896;
114048.5738;29;Master's, Doctoral or Professional Degree;Subaru;East South Central;385415.592;
118148.5091;70;Master's, Doctoral or Professional Degree;Nissan;Pacific;449115.2394;
114105.0465;42;High School Degree;Toyota;East North Central;61846.80805;
89958.91147;22;Master's, Doctoral or Professional Degree;Hyundai;West South Central;402572.343;
40334.40998;44;4-Year College Degree;Toyota;New England;466362.3857;
77840.29282;71;High School Degree;Toyota;Mid-Atlantic;169689.9654;
40111.67126;25;4-Year College Degree;Hyundai;East South Central;4007.912724;
146068.7996;37;4-Year College Degree;Mazda;New England;408642.5619;
84057.5474;29;Master's, Doctoral or Professional Degree;Ram;East South Central;406036.0507;
39988.27282;21;Some College;Nissan;South Atlantic;87629.69974;
139635.4368;45;4-Year College Degree;Dodge;East South Central;465606.3348;
57739.14054;29;4-Year College Degree;Chrysler;New England;61524.91596;
91207.49202;76;Master's, Doctoral or Professional Degree;Toyota;South Atlantic;116360.8786;
89198.74141;47;Less than High School Degree;Nissan;West North Central;237711.1301;
79031.92176;25;High School Degree;Subaru;New England;60165.1501;
94959.57636;23;Some College;Chevrolet;West South Central;154140.8664;
77445.81332;45;Master's, Doctoral or Professional Degree;Kia;Mid-Atlantic;384402.7587;
80120.8033;77;Less than High School Degree;Jeep;South Atlantic;254765.2396;
28634.75934;68;High School Degree;Chrysler;Mid-Atlantic;370638.1879;
105683.3366;78;Some College;Buick;East South Central;290004.9988;
139551.7022;42;High School Degree;BMW;South Atlantic;354996.638;
96468.2424;38;High School Degree;Mitsubishi;Pacific;457204.7674;
74606.81037;78;Master's, Doctoral or Professional Degree;Honda;Pacific;427147.2768;
137802.4221;57;Master's, Doctoral or Professional Degree;Toyota;Pacific;310348.747;
127668.1623;62;4-Year College Degree;Jeep;West North Central;467544.9197;
72882.88357;73;4-Year College Degree;Nissan;East North Central;500000;
35300.49719;49;High School Degree;Honda;New England;164883.1302;
120147.9097;35;Some College;None of the above;West South Central;196009.0584;
54196.1261;65;Some College;Lincoln;South Atlantic;21935.44522;
100576.7902;20;High School Degree;BMW;Mid-Atlantic;284422.5701;
140423.3069;64;Master's, Doctoral or Professional Degree;None of the above;East North Central;379536.7548;
83119.54315;37;Less than High School Degree;Mercedes Benz;New England;212090.5272;
107705.7223;49;4-Year College Degree;Lincoln;East North Central;436288.6524;
28743.87935;46;4-Year College Degree;Honda;South Atlantic;296971.551;
113505.0454;64;Less than High School Degree;Ram;East South Central;433664.2849;
24757.99716;47;High School Degree;Chevrolet;South Atlantic;85751.52486;
55823.78033;34;Some College;Chevrolet;Mid-Atlantic;172300.4779;
150000;80;4-Year College Degree;Mercedes Benz;East North Central;450271.2716;
28680.37301;76;4-Year College Degree;Toyota;Mid-Atlantic;209271.2962;
79313.51933;74;Less than High School Degree;Ford;West South Central;336988.1646;
119796.7515;39;4-Year College Degree;Ram;East South Central;47998.83638;
57632.34114;51;High School Degree;Kia;East North Central;133836.1588;
105486.4651;41;High School Degree;Chevrolet;East North Central;393598.9769;
101754.1042;67;Some College;Mitsubishi;West South Central;317196.6221;
47630.55456;75;Some College;Ford;Mid-Atlantic;182378.1812;
67548.15393;26;Master's, Doctoral or Professional Degree;Chevrolet;South Atlantic;63743.51975;
108530.0362;39;Less than High School Degree;Subaru;West North Central;457063.7612;
68065.53178;77;Some College;Honda;Pacific;399738.6161;
138506.5409;77;Less than High School Degree;Hyundai;Mid-Atlantic;92764.79099;
138487.6916;23;4-Year College Degree;Jeep;East South Central;295381.4132;
31857.48064;55;High School Degree;Subaru;East North Central;376638.756;
120567.3122;43;Master's, Doctoral or Professional Degree;Mercedes Benz;Mountain;112758.4536;
144520.0967;26;4-Year College Degree;Buick;South Atlantic;48978.62161;
150000;59;Master's, Doctoral or Professional Degree;Lincoln;New England;215892.7484;
113204.2527;53;High School Degree;Subaru;Pacific;255771.1642;
26974.43636;50;High School Degree;Cadillac;West South Central;88804.60415;
26457.81034;30;Some College;Honda;Mid-Atlantic;214611.0197;
145656.8344;51;Some College;None of the above;Mountain;436106.5431;
138398.1268;46;High School Degree;None of the above;East South Central;419740.5909;
104072.3343;60;4-Year College Degree;Cadillac;South Atlantic;50024.42022;
37969.10334;71;4-Year College Degree;Mazda;South Atlantic;0;
142750.0613;55;Less than High School Degree;Ford;Mountain;96775.53419;
127334.6931;24;4-Year College Degree;Lincoln;West North Central;251846.9624;
40811.27605;25;Master's, Doctoral or Professional Degree;Cadillac;Mid-Atlantic;364836.9259;
62194.49092;66;High School Degree;Jeep;South Atlantic;302582.745;
104645.5367;22;4-Year College Degree;Jeep;Mid-Atlantic;42773.44781;
46467.9239;44;4-Year College Degree;Ford;Pacific;125878.6932;
28776.12517;68;High School Degree;Nissan;Mountain;334883.6566;
76185.35222;49;High School Degree;Toyota;West South Central;46748.85467;
88632.48987;63;4-Year College Degree;Chrysler;South Atlantic;0;
87547.07447;70;Some College;BMW;West South Central;397976.7149;
56549.46807;76;Less than High School Degree;Toyota;West South Central;218804.3753;
91444.34617;69;Master's, Doctoral or Professional Degree;Ford;West South Central;166570.3142;
35443.23994;53;4-Year College Degree;Subaru;Mountain;323692.985;
108805.052;45;Less than High School Degree;Chevrolet;Mountain;42934.95201;
32354.12861;59;4-Year College Degree;None of the above;Mid-Atlantic;145849.7846;
47777.40513;22;High School Degree;Subaru;West North Central;422567.4988;
86982.23842;27;Less than High School Degree;Ram;Mid-Atlantic;250851.9115;
144415.2812;53;Less than High School Degree;Dodge;Mountain;400137.123;
133150.2895;28;4-Year College Degree;Lincoln;East South Central;238504.5011;
142178.55;33;Master's, Doctoral or Professional Degree;Subaru;Pacific;368512.2431;
20000;59;Some College;Hyundai;East North Central;342315.6599;
108037.3137;24;Less than High School Degree;Nissan;East South Central;423377.0607;
66428.45116;46;High School Degree;Kia;Mountain;417253.8151;
131398.9879;62;High School Degree;Dodge;East South Central;166385.7482;
100620.618;79;4-Year College Degree;Kia;South Atlantic;283957.8148;
56570.49997;37;Master's, Doctoral or Professional Degree;Chevrolet;West North Central;425478.3052;
144711.5565;54;4-Year College Degree;Cadillac;New England;202458.0817;
122480.6072;58;High School Degree;Dodge;West North Central;413860.9154;
52232.98641;39;High School Degree;Jeep;Pacific;161170.0145;
20000;37;Some College;Mazda;Mid-Atlantic;134166.8624;
102992.3364;61;4-Year College Degree;Cadillac;East North Central;425504.1594;
103026.6582;54;Some College;Chevrolet;Mountain;18370.1361;
80846.91846;60;Less than High School Degree;Mazda;Mountain;208157.7725;
30833.12173;35;Some College;Kia;West North Central;457361.4134;
100909.2356;40;Some College;Nissan;West South Central;72778.25932;
52879.09355;37;High School Degree;Chrysler;East North Central;89050.57354;
116786.1489;20;4-Year College Degree;Hyundai;Pacific;68483.1536;
36707.4499;32;Some College;Ram;East South Central;258445.0795;
89528.46798;76;Some College;Toyota;West South Central;405765.497;
112110.2832;69;Less than High School Degree;Toyota;Mid-Atlantic;136062.1845;
54362.63368;65;Master's, Doctoral or Professional Degree;Dodge;East North Central;6928.218851;
90585.5886;53;Some College;Mazda;Mid-Atlantic;147968.8713;
140937.4666;59;Less than High School Degree;Mazda;East South Central;493318.6732;
89602.55814;58;Some College;Kia;West North Central;459251.7909;
103867.6185;45;Master's, Doctoral or Professional Degree;Chrysler;East South Central;227925.2151;
30424.85732;23;Some College;Chrysler;New England;109949.5756;
20954.99535;46;Some College;Hyundai;Mountain;214229.2239;
37421.41963;79;Less than High School Degree;Subaru;New England;124626.1948;
67088.5411;69;Master's, Doctoral or Professional Degree;Chrysler;Pacific;270015.2608;
36042.8525;68;Master's, Doctoral or Professional Degree;Kia;New England;411618.3953;
134903.7078;46;Some College;Kia;New England;27355.68923;
49219.29642;50;Master's, Doctoral or Professional Degree;BMW;Pacific;361909.4851;
133069.3103;62;4-Year College Degree;Chrysler;East North Central;484119.5794;
73240.32656;65;Less than High School Degree;Mazda;Pacific;221422.9448;
111667.4441;75;Master's, Doctoral or Professional Degree;Chevrolet;Mountain;88010.45955;
144547.8822;73;Some College;None of the above;Mid-Atlantic;183691.0749;
45903.43046;39;Less than High School Degree;Lincoln;West South Central;280347.1716;
144763.2044;66;Master's, Doctoral or Professional Degree;Jeep;South Atlantic;373430.2903;
120220.8196;20;Some College;Buick;Pacific;359765.1654;
42296.07052;68;Some College;Dodge;Pacific;12920.43376;
78376.77056;62;Less than High School Degree;Chevrolet;Mid-Atlantic;383043.1229;
62416.47961;51;Some College;Chrysler;Pacific;493230.0543;
93894.94803;57;Master's, Doctoral or Professional Degree;Nissan;West South Central;44692.64639;
55926.39154;36;4-Year College Degree;Subaru;West North Central;445621.2399;
128991.4806;61;Less than High School Degree;Ford;Pacific;287580.7135;
66508.09294;46;4-Year College Degree;Lincoln;Mountain;320690.332;
150000;53;4-Year College Degree;Mercedes Benz;West North Central;1736.727907;
121780.933;36;4-Year College Degree;Nissan;West South Central;62363.8835;
115484.6025;47;Less than High School Degree;Honda;Mountain;327755.6253;
140614.0293;58;Some College;Kia;New England;40847.3193;
132296.5098;69;Less than High School Degree;Mercedes Benz;Pacific;465446.9939;
150000;68;High School Degree;Mercedes Benz;East North Central;44002.64849;
101611.36;31;Some College;Jeep;Mountain;443922.5918;
127206.7601;28;Master's, Doctoral or Professional Degree;Lincoln;Pacific;175046.8656;
118018.299;50;4-Year College Degree;Hyundai;New England;468847.5602;
29837.32888;65;Some College;Chevrolet;East South Central;349445.6621;
70974.96653;49;High School Degree;Ford;South Atlantic;495855.1477;
102030.7238;39;4-Year College Degree;Kia;Pacific;72710.96407;
68448.54085;57;High School Degree;Subaru;New England;30372.27669;
140619.7153;27;Less than High School Degree;Ford;South Atlantic;191054.413;
150000;45;Some College;Toyota;Mid-Atlantic;270319.5645;
48049.04599;60;Some College;Mercedes Benz;New England;208837.6583;
85412.37245;49;4-Year College Degree;Ford;New England;320090.8616;
102341.7288;64;Master's, Doctoral or Professional Degree;Chevrolet;West North Central;242855.1822;
54222.42172;76;4-Year College Degree;Chevrolet;Mountain;151725.5668;
36043.10498;57;High School Degree;BMW;South Atlantic;105090.4329;
88856.61436;36;Master's, Doctoral or Professional Degree;Toyota;Mid-Atlantic;141639.7981;
47395.99441;24;Some College;Buick;Mid-Atlantic;470475.7418;
89752.64571;23;Master's, Doctoral or Professional Degree;Mitsubishi;West North Central;5410.62704;
117479.073;74;Master's, Doctoral or Professional Degree;Jeep;New England;191527.918;
34835.59853;72;High School Degree;Toyota;Pacific;203133.2035;
131165.0107;21;4-Year College Degree;BMW;West South Central;22255.03095;
44701.46967;25;Less than High School Degree;Mercedes Benz;West North Central;307688.3068;
112781.6586;29;Master's, Doctoral or Professional Degree;Ford;East South Central;408237.0455;
55651.23245;27;4-Year College Degree;Dodge;Mountain;91112.64808;
72974.33539;43;Some College;Lincoln;South Atlantic;97543.8323;
60058.57843;45;Less than High School Degree;Mercedes Benz;East South Central;150739.4846;
140971.1379;29;Some College;Mercedes Benz;New England;175866.987;
84808.52841;57;4-Year College Degree;Honda;Pacific;22501.73343;
30245.56754;37;4-Year College Degree;None of the above;Mountain;486258.0663;
94042.9269;36;Less than High School Degree;Toyota;Mountain;473126.3494;
37674.21438;39;4-Year College Degree;Mazda;New England;57535.62764;
